FinalPosition,RaceNumber,FirstName,LastName,TotalPoints,RacesParticipated,BestPosition,WorstResultDropped,WorstRace,Race_alba_damascena,Race_buhovo,Race_gorna_malina,Race_kirkovo,Race_kyrnare,Race_six_days,Race_stara_zagora
1,15,Мартин,МАРИНОВ,133.0,7,1,15.0,alba_damascena,15.0,18.0,22.0,25.0,18.0,25.0,25.0
2,134,Красимир,БОШНАКОВ,108.0,6,1,,,18.0,16.0,25.0,20.0,16.0,0,13.0
3,13,Любомир,СИНЕВ,102.0,6,2,,,16.0,20.0,13.0,22.0,15.0,0,16.0
4,112,Станислав,КИРИЛОВ,85.0,4,1,,,20.0,22.0,0,0,25.0,0,18.0
5,272,Кристиан,ПЕТРОВ,69.0,3,1,,,0,25.0,0,0,22.0,0,22.0
6,131,Борис,ЧАКЪРОВ,62.0,3,2,,,22.0,0,0,0,20.0,0,20.0
7,393,Симеон,НЕНКОВ,62.0,4,4,,,0,15.0,18.0,0,14.0,0,15.0
8,189,Красимир,ДИМИТРОВ,57.0,4,5,,,14.0,14.0,16.0,0,13.0,0,0
9,217,Данаил,КОСТАДИНОВ,41.0,3,6,,,0,0,14.0,15.0,12.0,0,0
10,238,Пламен,КОВАЧЕВ,30.0,2,5,,,0,0,0,16.0,0,14.0,0
11,915,Байрям,КЪРМАДЖИ,27.0,2,7,,,13.0,0,0,14.0,0,0,0
12,19,Любомир,ИВАНОВ,25.0,1,1,,,25.0,0,0,0,0,0,0
13,171,Георги,ПЕТРОВ,20.0,1,3,,,0,0,20.0,0,0,0,0
14,255,Димитър,ТИНЧЕВ,18.0,1,4,,,0,0,0,18.0,0,0,0
15,412,Цветан,МИХАЙЛОВ,15.0,1,6,,,0,0,15.0,0,0,0,0
16,845,Валентин,ПЕТКОВ,14.0,1,7,,,0,0,0,0,0,0,14.0
17,99,Светослав,МАРИНОВ,12.0,1,9,,,0,0,0,0,0,0,12.0
